Data,Score,Is_outlier?
"(276.3035, 17.0345, 28.8095, 138.65200000000002)",0.7394176089222413,0
"(286.1645, 20.31, 33.148, 138.74)",0.6097694121183668,0
"(91.6855, 70.251, 301.675, 138.65200000000002)",0.6410033486154213,0
"(137.792, 7.024, 22.2445, 138.915)",0.8935437470093316,0
"(178.477, 22.019000000000002, 61.1845, 138.8275)",0.8120112800738742,0
"(188.4055, 6.167000000000001, 14.3475, 139.178)",0.8785706936197578,0
"(209.66400000000002, 13.468, 27.8095, 139.178)",0.8170590156326478,0
"(214.557, 12.6645, 23.6015, 139.0025)",0.8383572343844986,0
"(275.71349999999995, 25.565, 44.7735, 138.5645)",0.7092719473930718,0
"(295.914, 111.81700000000001, 185.9025, 138.1265)",0.29711511853439593,1
"(255.758, 293.2630000000001, 473.65150000000006, 138.1265)",0.3911904517353862,1
"(65.7105, 0.2145, 1.0459999999999998, 139.716)",0.9536558334635981,0
"(99.8215, 63.2395, 243.0515, 139.635)",0.6244465775557968,0
"(85.913, 178.46300000000005, 574.781, 139.635)",0.7528586248753585,0
"(157.3615, 127.247, 345.644, 139.5535)",0.5733560209335421,1
"(160.4245, 191.9995, 449.673, 139.635)",0.64385657467007,0
"(91.8595, 369.3125, 783.4525000000001, 139.5535)",0.6881671284073304,0
"(87.9385, 424.9075, 832.0295, 139.5535)",0.6894849325635266,0
"(88.78200000000002, 462.83099999999996, 853.6489999999999, 139.472)",0.7333790798823945,0
"(91.3535, 488.3015, 864.1595, 139.5535)",0.7094484399614704,0
"(32.8555, 0.0, 0.0, 139.065)",0.8216477476832422,0
"(52.1195, 0.0, 0.0, 139.065)",0.9406746074779264,0
"(76.2235, 0.0, 0.0, 139.065)",0.9640960671882344,0
"(113.78, 0.16699999999999998, 0.4235, 139.14600000000002)",0.9481381966847183,0
"(210.231, 31.166999999999998, 72.0395, 139.14600000000002)",0.7283605518211601,0
"(176.82, 2.4250000000000003, 5.222, 138.90200000000002)",0.9090557205506803,0
"(146.3125, 0.10099999999999999, 0.2075, 138.8205)",0.9213289680506958,0
"(138.72250000000003, 0.042, 0.07450000000000001, 138.576)",0.9340466172221571,0
"(200.0745, 8.574, 14.836, 138.6575)",0.8392632401282394,0
"(76.9785, 4.6295, 22.166999999999998, 140.042)",0.9190281256909272,0
"(109.471, 30.8095, 116.2995, 140.1235)",0.7367354115576557,0
"(126.98299999999999, 31.4765, 102.0275, 140.1235)",0.7213332177733778,0
"(106.17, 0.048, 0.116, 140.1235)",0.9568513831392848,0
"(169.5775, 10.379000000000001, 23.0225, 140.1235)",0.8782720604790292,0
"(229.54, 71.1635, 146.628, 140.1235)",0.6592343825629815,0
"(249.142, 92.571, 177.5545, 140.042)",0.6063616353297281,0
"(261.983, 29.868, 54.5215, 139.9605)",0.6958664561133345,0
"(196.2875, 1.5430000000000001, 2.7065, 139.879)",0.908313455705366,0
"(80.66650000000001, 7.126, 33.6245, 140.205)",0.9026290001364423,0
"(113.3775, 2.9610000000000003, 11.698, 140.286)",0.9341876998222005,0
"(125.11200000000001, 1.0305, 3.005, 140.44899999999998)",0.9259056324021488,0
"(180.58700000000002, 67.13, 171.394, 140.3675)",0.687897027245161,0
"(210.365, 53.641000000000005, 118.3415, 140.286)",0.7223478731644984,0
"(201.887, 188.8895, 386.9645, 140.3675)",0.6067374569900068,0
"(213.2835, 228.1355, 430.3195, 140.44899999999998)",0.5909710897754732,1
"(185.983, 311.1435, 557.7529999999998, 140.44899999999998)",0.6441215697638283,0
"(291.915, 143.8225, 247.40200000000002, 140.44899999999998)",0.4106371545943823,1
"(58.8655, 0.024, 0.108, 140.205)",0.9506407761527818,0
"(88.16149999999998, 0.131, 0.473, 140.205)",0.9838099138811689,0
"(133.153, 2.7105, 7.721, 140.205)",0.936413367774485,0
"(191.567, 19.864, 50.387, 140.205)",0.8154552723968211,0
"(211.109, 49.452, 110.4135, 140.205)",0.7204131025730023,0
"(209.516, 129.10000000000002, 257.755, 140.205)",0.6058732010470225,0
"(220.9325, 126.306, 238.917, 140.205)",0.6136376040902789,0
"(267.4085, 50.8345, 89.93950000000002, 140.205)",0.6980502871789331,0
"(230.2345, 153.3675, 260.86850000000004, 140.205)",0.588693924604546,1
"(16.0205, 0.0, 0.0, 139.9455)",0.8291104342504025,0
"(18.7475, 0.0, 0.0, 139.9455)",0.8291104342504025,0
"(26.855999999999998, 0.0, 0.0, 139.9455)",0.8291104342504025,0
"(32.286, 0.0, 0.0, 139.9455)",0.8291104342504025,0
"(31.23, 0.0, 0.0, 139.9455)",0.8291104342504025,0
"(65.3305, 0.0, 0.0, 139.9455)",0.9656699898684589,0
"(73.9165, 0.0, 0.0, 139.9455)",0.9718153983904669,0
"(56.052, 0.0, 0.0, 140.023)",0.9554940573931502,0
"(35.926, 0.0, 0.0, 140.023)",0.9191595052907737,0
"(66.846, 0.0135, 0.0655, 140.178)",0.9742882499667079,0
"(96.25, 0.1345, 0.45799999999999996, 140.178)",0.980548373491748,0
"(124.9625, 0.4635, 1.324, 140.1005)",0.9330087426302883,0
"(157.35, 1.598, 3.866, 140.1005)",0.9181628225214893,0
