,P,R,,,,,,,,
0.53,0.784878487848785,0.518122400475342,0.807032231059021,0.572786690433749,0.809697245618029,0.528371954842543,0.818141494788201,0.547979797979798,0.794086589229145,0.558526440879382
0.54,0.776296296296296,0.54486036838978,0.797543581616482,0.598039215686274,0.800688764528627,0.552584670231729,0.807627829002515,0.572489601901367,0.785656890317396,0.580956625074272
0.55,0.76835138387485,0.569073083778966,0.78721409823772,0.623737373737374,0.792131413506388,0.580213903743316,0.795930462267878,0.598484848484848,0.780511060259344,0.607991681521093
0.56,0.760388867708731,0.592543077837196,0.777541245343268,0.651069518716578,0.78221450617284,0.602346999405823,0.783591851990282,0.622846108140226,0.776865535486225,0.632501485442662
0.57,0.752500454628114,0.614676173499703,0.766807076663859,0.67602495543672,0.77156432748538,0.627153891859774,0.771509668263261,0.646019013666072,0.770771642570981,0.657308377896613
0.58,0.742452992927376,0.639334521687463,0.757634201221472,0.700237670825906,0.761001913376239,0.649881164587047,0.760723860589812,0.674390968508616,0.763285024154589,0.680629827688651
0.59,0.73364024991779,0.662804515745692,0.75027010341102,0.722073677956031,0.753447416514371,0.673648247177659,0.752286218514359,0.696524064171123,0.759589151019098,0.703060011883541
0.6,0.728042659974906,0.689542483660131,0.743407407407407,0.745395127748069,0.747139224411952,0.698306595365419,0.743934075995727,0.724153297682709,0.754778051787916,0.727421271538919
0.61,0.720323741007194,0.713903743315508,0.737912400455063,0.770796197266786,0.743503515744421,0.722519310754605,0.734265734265734,0.748663101604278,0.747778436018957,0.75
0.62,0.714883184309201,0.736333927510398,0.730474102493834,0.791889483065954,0.733920704845815,0.742424242424242,0.724916387959866,0.772727272727273,0.74002849002849,0.771687462863933
0.63,0.706240487062405,0.758169934640523,0.725152398621786,0.812834224598931,0.727606668550438,0.765002970885324,0.716481753776233,0.796197266785502,0.73378509196515,0.78817587641117
0.64,0.698120698782425,0.783571004159239,0.717797695262484,0.832739156268568,0.722487385790263,0.78698752228164,0.70844581565754,0.818627450980392,0.727284928197557,0.80496137849079
0.65,0.690173116089613,0.805407011289364,0.709361438313701,0.84982174688057,0.715358271865121,0.806743909685086,0.703272186415469,0.842840166369578,0.72055366936537,0.819667260843731
0.66,0.68319018404908,0.827094474153298,0.701009858138976,0.866161616161616,0.708825396825397,0.829174093879976,0.695574162679426,0.863784907902555,0.714502849905003,0.837938205585264
0.67,0.677472984206151,0.847445038621509,0.694181009249502,0.880718954248366,0.702536321103176,0.8475935828877,0.689059055574893,0.882204396910279,0.706860450794433,0.852495543672014
0.68,0.671327863168843,0.862893642305407,0.688792414029476,0.895573380867499,0.698226270373921,0.86541889483066,0.682604272634791,0.897058823529412,0.702628105124205,0.869726678550208
0.69,0.666141377757767,0.879084967320261,0.682989403234802,0.909536541889483,0.691557310416909,0.88458110516934,0.674099297012302,0.911616161616161,0.698071303331385,0.887106357694593
0.7,0.659003831417625,0.894236482471777,0.676797385620915,0.922905525846702,0.681562359297614,0.899435531788473,0.666952421774539,0.924539512774807,0.692018244013683,0.901515151515152
0.71,0.651829659747486,0.904931669637552,0.669364284953679,0.933749257278669,0.673114754098361,0.914884135472371,0.66013414378537,0.935680332739156,0.686169619971024,0.914587046939988
0.72,0.646239262518332,0.916369578134284,0.664091051477498,0.944741532976827,0.665461121157324,0.929292929292929,0.653846153846154,0.946969696969697,0.67984318850049,0.927361853832442
0.73,0.637506387327542,0.926619132501485,0.656435440965828,0.953060011883541,0.656762933721172,0.939096850861557,0.648414695520886,0.956922162804516,0.67003080845639,0.936868686868687
0.74,0.631668331668332,0.939245395127748,0.650150753768844,0.960932857991681,0.648415278342137,0.948158051099228,0.641522491349481,0.963903743315508,0.661226611226611,0.944890077243018
0.75,0.624743877451459,0.951128936423054,0.644393999210422,0.969845513963161,0.639805246422893,0.956476530005942,0.635135135135135,0.970439691027926,0.653071602929211,0.953802733214498
0.76,0.615912339209147,0.960190136660725,0.638424124513619,0.974896019013666,0.629989317276877,0.963606654783125,0.628979670118911,0.974301841948901,0.645399262286911,0.961675579322638
0.77,0.607766265285168,0.967171717171717,0.633224630730865,0.980689245395128,0.622154490903896,0.970291146761735,0.623946994794131,0.979203802733214,0.637404580152672,0.9674688057041
0.78,0.598996350364963,0.975193107546049,0.627616251538971,0.984402852049911,0.612557141524396,0.97534165181224,0.619702497895032,0.983957219251337,0.629451857540559,0.974004753416518
0.79,0.589608299052048,0.979352346999406,0.621910112359551,0.986631016042781,0.604732208363903,0.979500891265597,0.615199481625474,0.987225193107546,0.619580551114455,0.978609625668449
0.8,0.580746975276171,0.983957219251337,0.616245721158294,0.989453357100416,0.595409540954095,0.982620320855615,0.611345307917888,0.990938799762329,0.611912689604144,0.982768865121806
0.81,0.5723752151463,0.987967914438503,0.612068965517241,0.991384432560903,0.58815195253697,0.986631016042781,0.607912687585266,0.992869875222816,0.603926201944924,0.987076648841355
0.82,0.562937948501477,0.990493166963755,0.60769160832803,0.992869875222816,0.58011675524963,0.989007724301842,0.604443240314278,0.994206773618538,0.593104062722737,0.988859180035651
0.83,0.556507989347537,0.99331550802139,0.604588150289017,0.994355317884729,0.572630494505495,0.990790255496138,0.601651557310834,0.995692216280452,0.585387246732743,0.991384432560903
0.84,0.548947325305153,0.995395127748069,0.599767358625626,0.995692216280452,0.566096817874069,0.993612596553773,0.598234979497237,0.996880570409982,0.579088704088704,0.993018419489008
0.85,0.54255233168997,0.997177658942365,0.596871667259154,0.997623291740939,0.560652992884052,0.994800950683304,0.594637642686488,0.998217468805704,0.571282226395766,0.994058229352347
0.86,0.536161390638705,0.998811645870469,0.593289183222958,0.998068924539513,0.554499628129907,0.996732026143791,0.590649441954477,0.998366013071895,0.564620695461817,0.996137849079025
0.87,0.531200631911532,0.998960190136661,0.589359277763169,0.998811645870469,0.548848227413821,0.998068924539513,0.586495681758702,0.998663101604278,0.557641196013289,0.997326203208556
0.88,0.527479419835359,0.999405822935235,0.585669510708689,0.999257278669043,0.543039405684755,0.998960190136661,0.582085677196019,0.999108734402852,0.550466983450762,0.998068924539513
0.89,0.524425399298792,0.999851455733809,0.580700845848438,0.999405822935235,0.537031125299282,0.999554367201426,0.5766198148783,0.999405822935235,0.543697954563829,0.998960190136661
0.9,0.521941386261436,1,0.575607252822443,0.999702911467617,0.532020872865275,0.999554367201426,0.570544344581991,0.999554367201426,0.536480344470138,0.999405822935235
