,0,,,,,,,,,
1.3,0.892536859705122,0.87225193107546,0.897353031702062,0.866161616161616,0.909034461347408,0.869875222816399,0.908088806086012,0.86883541295306,0.890873316179809,0.874331550802139
1.31,0.895938697318008,0.868389780154486,0.90178432893716,0.863339275103981,0.912676056338028,0.866310160427807,0.911038148843027,0.865567439096851,0.895579268292683,0.872697563874034
1.32,0.900138910325667,0.866310160427807,0.905639743790033,0.861111111111111,0.917745500473634,0.863487819370172,0.914843381079805,0.863339275103981,0.899109336609337,0.869726678550208
1.33,0.904399191667962,0.864230540701129,0.908118313404657,0.857397504456328,0.920998251470354,0.860665478312537,0.918422303183906,0.861259655377302,0.903345724907063,0.866310160427807
1.34,0.908450704225352,0.862299465240642,0.910412387422974,0.855912061794415,0.92257343550447,0.858437314319667,0.92156862745098,0.85873440285205,0.9071072319202,0.864527629233512
1.35,0.911380450181017,0.860071301247772,0.912857142857143,0.85427807486631,0.925461847389558,0.855763517528223,0.925028094397174,0.855912061794415,0.910189982728843,0.861111111111111
1.36,0.913793103448276,0.858140225787285,0.915297495613336,0.852346999405823,0.929149142672274,0.853238265002971,0.926601064687853,0.853238265002971,0.913125888485231,0.85873440285205
1.37,0.916852146263911,0.856654783125371,0.917134156114762,0.849970291146762,0.931740614334471,0.851604278074866,0.930077871512005,0.851604278074866,0.91683892510733,0.85650623885918
1.38,0.92032,0.854426619132502,0.918288563615892,0.848039215686275,0.933726067746686,0.8475935828877,0.932322243966079,0.849227569815805,0.919104716227018,0.853980986333927
1.39,0.923336547733848,0.853386809269162,0.91992250565063,0.84640522875817,0.936656794998355,0.845662507427213,0.933344251555847,0.846553773024361,0.921678996461885,0.851307189542484
1.4,0.925896028414595,0.851901366607249,0.921206225680934,0.844028520499109,0.939018344075359,0.844028520499109,0.93479334760415,0.843285799168152,0.923884938590821,0.849227569815805
1.41,0.927876823338736,0.850415923945336,0.923728813559322,0.84194890077243,0.941694352159468,0.842097445038622,0.935867768595041,0.841057635175282,0.926551836204095,0.846999405822935
