Threshold,January(Pr),January(Re),February(Pr),February(Rc),March(Pr),March(Rc),April(Pr),April(RC),May(Pr),May(Rc),June(P),June®,July(P),July(Rc),August(Pr),August(Rc),September(Pr)September(Rc),,Oct(Pr),Oct(Rc),Nov(Pr),Nov(Rc),Dec(Pr),Dec(Rc)
0.6,0.834054150127377,0.75283422459893,0.832924231666497,0.731889483065954,0.774788577031499,0.676096256684492,0.739107874205445,0.710926916221034,0.713593053115286,0.752923351158645,0.702956921154398,0.742014260249554,0.719412529065791,0.750035650623886,0.709930637793944,0.748021390374332,0.755317394888706,0.734919786096257,0.741840864367133,0.712299465240642,0.776980661260137,0.710445632798574,0.791911391487202,0.778698752228164
0.61,0.828060417896802,0.7749376114082,0.82424583827043,0.756381461675579,0.764644025549151,0.699928698752228,0.731896705253784,0.732549019607843,0.707767322776863,0.773636363636364,0.697532769178293,0.765508021390374,0.714078470161556,0.772121212121212,0.702992668693207,0.770873440285205,0.74687219553397,0.756577540106952,0.732798043177709,0.736951871657754,0.765903732991777,0.735472370766488,0.785684254782426,0.799465240641711
0.62,0.823262839879154,0.796613190730838,0.815757055397939,0.779055258467023,0.753613214039917,0.722192513368984,0.72480128820063,0.754206773618538,0.701500291242266,0.794295900178253,0.691888506107109,0.787593582887701,0.708359221908904,0.792566844919786,0.694608532583216,0.792299465240642,0.739271913768558,0.777540106951872,0.723669251522916,0.760213903743315,0.756616668145913,0.759786096256685,0.779591975287688,0.818752228163993
0.63,0.817660509485869,0.815882352941176,0.807951070336391,0.800606060606061,0.742097802976612,0.746595365418895,0.717927522814443,0.774081996434938,0.695466301536589,0.814848484848485,0.686268575406313,0.808377896613191,0.701696947339297,0.813743315508021,0.68764048333811,0.8125311942959,0.730576543350903,0.798021390374332,0.715300928560974,0.784064171122995,0.747267875656475,0.783725490196078,0.772976623890088,0.836399286987522
0.64,0.812180276414587,0.834866310160428,0.799333599430783,0.821033868092692,0.731229044603244,0.769732620320856,0.711296337615147,0.795561497326203,0.689637374467269,0.833600713012478,0.681362784157488,0.829197860962567,0.695398535627121,0.832941176470588,0.680493567865582,0.831657754010695,0.723032529683533,0.817361853832442,0.705349768587056,0.806827094474153,0.738403302387051,0.806702317290553,0.767705745652697,0.853850267379679
0.65,0.806841963140485,0.852174688057041,0.792248972401644,0.84174688057041,0.72089891286711,0.791960784313726,0.705208012326656,0.815828877005348,0.683250533308517,0.850677361853832,0.675928688117054,0.848163992869875,0.689329774186567,0.851586452762923,0.672768039710631,0.850409982174688,0.715401836706721,0.837326203208556,0.695246218072451,0.828235294117647,0.728870752570038,0.827807486631016,0.762301996438279,0.869839572192513
0.66,0.801779722350155,0.868894830659536,0.785282454657739,0.861319073083779,0.710215697556879,0.814064171122995,0.697840868424192,0.834224598930481,0.676941480852958,0.867486631016043,0.669767698656986,0.864955436720143,0.68345283363033,0.86825311942959,0.66562058900111,0.865793226381462,0.707197310408895,0.854901960784314,0.686325956894688,0.848609625668449,0.719465562323353,0.848520499108734,0.757380552587391,0.884420677361854
0.67,0.797101449275362,0.884313725490196,0.778702636109488,0.878823529411765,0.700722178197096,0.835383244206774,0.69087569068765,0.851390374331551,0.670305440575711,0.883297682709447,0.66362807657247,0.882424242424242,0.67686155693853,0.884046345811052,0.65838194943925,0.881105169340463,0.699694207081821,0.87283422459893,0.677295048898905,0.867843137254902,0.711347745955592,0.866880570409982,0.752824098977945,0.89807486631016
0.68,0.792254960535832,0.898199643493761,0.772906464627799,0.894670231729055,0.692048352471653,0.85620320855615,0.683886821596574,0.868146167557932,0.663073946859331,0.898128342245989,0.657914684510429,0.897344028520499,0.670611702127659,0.898930481283422,0.652257394914375,0.896185383244207,0.691311820802839,0.889019607843137,0.6694756428061,0.885080213903743,0.703490515212522,0.884491978609626,0.748653238084085,0.911622103386809
0.69,0.787415149229609,0.911871657754011,0.766961962488908,0.908966131907308,0.684739431613865,0.87572192513369,0.676568917757188,0.88379679144385,0.655832083189086,0.91174688057041,0.651699431398047,0.911194295900178,0.663986199919586,0.912549019607843,0.646095638199603,0.910142602495544,0.6829320838046,0.90409982174688,0.660033709186407,0.90048128342246,0.696088416648315,0.901515151515152,0.74467473481473,0.923529411764706
