Threshold,Precision(all rand),Recall(all rand),Precision(col1 rand),Recall(col1 rand),Precision(col2 rand),Recall(col2 rand),Precision(col3 rand),Recall(col3 rand),Precision(col4 rand),Recall(col3 rand)
0.53,0.809131360774839,0.562645573380868,0.610549806909417,0.20807486631016,0.519577163381402,0.143541295306001,0.519300605245461,0.143382352941176,0.638693554713563,0.234621212121212
0.54,0.801160200858508,0.587755496137849,0.605126761696053,0.223547237076649,0.521849635555382,0.159206773618538,0.522728045917797,0.159768270944742,0.631274616924053,0.249744503862151
0.55,0.793141597177061,0.612342543077837,0.600029017641238,0.239585561497326,0.524999668644491,0.176515151515151,0.527224196158447,0.178097147950089,0.624281415885907,0.265359477124183
0.56,0.785487757538471,0.637225193107546,0.595230609234044,0.255907605466429,0.527784271836833,0.194500891265597,0.531732898449928,0.19760843731432,0.617895804590391,0.281409685086156
0.57,0.778009461788729,0.661769162210339,0.591159083745553,0.273027332144979,0.530852441954449,0.213658645276292,0.536089923725412,0.218202614379085,0.612179272050523,0.298060011883541
0.58,0.770247330260604,0.68613339275104,0.586816291155981,0.290668449197861,0.532567504758157,0.233181818181818,0.539877771840769,0.240138146167558,0.606014766689734,0.314805407011289
0.59,0.762651733020106,0.709852941176471,0.58259964131652,0.308351158645276,0.534486050639013,0.253648247177659,0.543783820263323,0.263319964349376,0.600037113036088,0.331426024955437
0.6,0.75522856072136,0.733425430778372,0.578789298574407,0.326632501485443,0.536509141043168,0.275153000594177,0.547337453856272,0.287421271538919,0.59445342713629,0.348429887106358
0.61,0.747812342545218,0.756200237670826,0.575042204432827,0.345081699346405,0.537932556568454,0.29688651218063,0.550695507661707,0.312563874034462,0.589020075360404,0.365491681521093
0.62,0.740393057242266,0.777926322043969,0.571588552177555,0.363927510398099,0.53981655514623,0.3199688057041,0.553924450382607,0.338715092097445,0.584087573385519,0.383061497326203
0.63,0.732915785042107,0.799073083778966,0.568103303927876,0.383025846702317,0.541264458999974,0.343579916815211,0.556406647417156,0.36524806892454,0.579185423227438,0.400781342840166
0.64,0.725659526048895,0.819444444444444,0.564697852658296,0.401885026737968,0.543091436483455,0.368230837789661,0.55900481900706,0.392697563874034,0.574602404035418,0.41845513963161
0.65,0.71837169303419,0.838813131313131,0.561607512391604,0.421271538918598,0.544677840325954,0.393380867498514,0.561351261383361,0.420833333333333,0.570503144898126,0.436807783719548
0.66,0.711093166323524,0.856786987522282,0.558612519047162,0.440549613784908,0.546720439466914,0.419858882947118,0.563449838115357,0.449288472964944,0.566582575340034,0.455051990493167
0.67,0.70403653453296,0.873868092691622,0.555740585052491,0.459540998217469,0.549382851020564,0.447874331550802,0.565817748969431,0.478732917409388,0.563093932022112,0.473458110516934
0.68,0.697282744074627,0.889835115864528,0.553420715069486,0.47873440285205,0.552470861949397,0.476898395721925,0.568480035574906,0.508923054070113,0.560304396195217,0.492277183600713
0.69,0.69041669878786,0.904634581105169,0.551257444095337,0.498306595365419,0.555652463978,0.507247474747475,0.571107271870583,0.540142602495544,0.557624081879947,0.511316102198455
0.7,0.683407277327577,0.917999108734403,0.549187078284558,0.518068924539513,0.559118887644931,0.539319667260844,0.573361607894623,0.571521093285799,0.555359691615246,0.53116458704694
0.71,0.676502963635912,0.930262923351159,0.547427010084615,0.538076351752822,0.562680623440195,0.57236036838978,0.57552614868236,0.603143196672608,0.554012676626873,0.552590612002377
0.72,0.669598636443849,0.941286393345217,0.546411987170281,0.559509803921569,0.566231615045905,0.60629679144385,0.577615192479409,0.635154486036839,0.553120332721153,0.574881164587047
0.73,0.662550924929202,0.950845216874628,0.546206310983673,0.58290404040404,0.569491395611709,0.640625371360665,0.57931620931799,0.666896910279263,0.552595754024345,0.59814468211527
0.74,0.655381067840458,0.959217171717171,0.547151693620018,0.609420677361854,0.572056749566136,0.674240938799762,0.58048510486884,0.697920380273321,0.552273758162006,0.622162804515746
0.75,0.648154512337618,0.966532976827094,0.547469392356929,0.634748960190137,0.57389012208657,0.70663844325609,0.58070072555984,0.72663844325609,0.552394904151877,0.64750742721331
0.76,0.642371770853972,0.972853535353535,0.544743758623058,0.648080808080808,0.576391244742896,0.736962269756387,0.581852127511953,0.753660130718954,0.550019437365404,0.662029114676174
0.77,0.636651033826681,0.978204099821747,0.542112573099415,0.660971479500891,0.578573086510289,0.766457219251337,0.582915972606784,0.780251039809863,0.547847658416455,0.67643642305407
0.78,0.630894879456616,0.982923351158645,0.539359079313102,0.673330362448009,0.580207635269802,0.794806892453951,0.583464689774641,0.805518419489008,0.545646063294779,0.690604575163399
0.79,0.625393136542206,0.986556743909685,0.536924126338923,0.685181224004753,0.581583101856478,0.821385918003565,0.583919122868854,0.829315210932858,0.543744960885577,0.704258764111705
