,J_p,J_r,F_p,F_r,M_p,M_r,A_p,A_r,M_p,M_r,June_p,June_r,July_p,July_r,Aug_p,Aug_r,Sep_p,Sep_r,Oct_p,Oct_r,No_p,No_r,Dec_p,Dec_r
1.21,0.817491024434452,0.836114081996435,0.861492273730684,0.869554367201426,0.897695669447755,0.886078431372549,0.868685162031561,0.916470588235294,0.888173221872002,0.924206773618538,0.86292235473651,0.927326203208556,0.851311618127762,0.923832442067736,0.886193805507361,0.919572192513369,0.883636739760033,0.913689839572192,0.821474690082645,0.90716577540107,0.892690654818268,0.873850267379679,0.837204339320647,0.839144385026738
1.22,0.822782574914799,0.830570409982175,0.866942753610253,0.86572192513369,0.902700338908932,0.883101604278075,0.875008533005666,0.913939393939394,0.894085519720695,0.922103386809269,0.868725739526168,0.925525846702317,0.856102124277696,0.921675579322638,0.891532649383058,0.917023172905526,0.889457202505219,0.911336898395722,0.826977608291777,0.904545454545454,0.898652628478869,0.870267379679144,0.842399611573666,0.835026737967914
1.23,0.827872808193469,0.825614973262032,0.872534334337947,0.861818181818182,0.907304248708474,0.87969696969697,0.881216612097191,0.911532976827094,0.899752432093169,0.919928698752228,0.874383903855243,0.923386809269162,0.861729137435692,0.919607843137255,0.896676452086391,0.914705882352941,0.89474145947748,0.908983957219251,0.832052779651536,0.901479500891266,0.903612891241757,0.867130124777184,0.84726816678178,0.830926916221034
1.24,0.832269035257512,0.820089126559715,0.877939325391758,0.857860962566845,0.911643162907918,0.876916221033868,0.886883022018157,0.908983957219251,0.905243175786125,0.918039215686274,0.879369885851352,0.921426024955437,0.866378221855587,0.917326203208556,0.901708648934296,0.912477718360071,0.899936321505643,0.906898395721925,0.837083872680806,0.899126559714795,0.90845862547336,0.86379679144385,0.852374391476072,0.827076648841355
1.25,0.837174394552344,0.815222816399287,0.882885207231447,0.85397504456328,0.915650045771293,0.873654188948307,0.892131757112288,0.906666666666667,0.910789632308619,0.915757575757576,0.883997600068569,0.91921568627451,0.871389294321306,0.915222816399287,0.906201756720788,0.910320855614973,0.904765301754887,0.904313725490196,0.841907025796408,0.896488413547237,0.91298757775719,0.860730837789661,0.856649780103546,0.822887700534759
1.26,0.841595146493045,0.811051693404635,0.887505814494372,0.850249554367201,0.919227078590378,0.870873440285205,0.897366978479603,0.90458110516934,0.91538832437452,0.913707664884135,0.888023890078022,0.917023172905526,0.876008753932431,0.913297682709447,0.910045539780337,0.908342245989305,0.909600661370907,0.902174688057041,0.846068230492926,0.894313725490196,0.916404716999105,0.857450980392157,0.860232166261,0.818983957219251
1.27,0.846030113158141,0.806292335115865,0.891639762744951,0.846755793226381,0.922858225928734,0.867914438502674,0.901590297935996,0.902442067736185,0.920091406362459,0.911497326203209,0.89246470547326,0.914991087344029,0.880076437068535,0.911247771836007,0.913467584026443,0.906417112299465,0.914053447276941,0.899910873440285,0.849752021197092,0.891800356506239,0.919870994989538,0.854135472370766,0.863390041728819,0.815080213903743
1.28,0.850087949915833,0.801158645276292,0.895395272252399,0.84331550802139,0.925843253968254,0.865044563279857,0.90580217020895,0.900231729055258,0.924402173913044,0.909572192513369,0.896544480621783,0.912941176470588,0.884068019899807,0.909108734402852,0.916942260775278,0.904438502673797,0.917937783609425,0.897860962566845,0.85388971582063,0.889643493761141,0.923151262128416,0.851372549019608,0.866825411943995,0.811122994652406
1.29,0.854333492594362,0.796844919786096,0.898804188202086,0.840053475935829,0.928995332936409,0.862210338680927,0.909913162788179,0.898413547237077,0.928286271578832,0.907718360071301,0.900123304562269,0.910873440285205,0.887487571301481,0.906898395721925,0.920679371544952,0.902495543672014,0.922151295032651,0.896114081996435,0.857817617652129,0.887023172905526,0.926549602865597,0.848395721925134,0.869581916997945,0.807130124777184
1.3,0.858408788153754,0.792566844919786,0.902071165078389,0.836916221033868,0.931632850241546,0.859393939393939,0.913140594922457,0.896310160427808,0.932035807315552,0.905686274509804,0.90380967576096,0.908787878787879,0.890815287965465,0.904884135472371,0.924053411377355,0.900499108734403,0.92608117590575,0.893957219251337,0.861592416403347,0.884598930481283,0.929568353785235,0.845294117647059,0.872800480071236,0.803707664884136
